Tahun,2020,2020,2020,2021,2021,2021,2022,2022,2022,2023,2023,2023,2024,2024,2024,2025,2025,2025
Bulan,Bulanan,Kumulatif,YOY,Bulanan,Kumulatif,YOY,Bulanan,Kumulatif,YOY,Bulanan,Kumulatif,YOY,Bulanan,Kumulatif,YOY,Bulanan,Kumulatif,YOY
January,0.52,0.52,2.16,0.37,0.37,1.18,0.45,0.45,2.79,0.42,0.42,6.56,-0.26,-0.26,2.4,-0.72,-0.72,0.91
February,0.32,0.83,2.67,0.29,0.66,1.15,0.04,0.48,2.53,0.1,0.52,6.63,0.45,0.19,2.8,-0.53,-1.24,-0.07
March,0.01,0.84,2.36,0.09,0.74,1.23,0.7,1.19,3.16,0.39,0.92,6.3,0.6,0.79,2.99,1.3,0.04,0.63
April,-0.16,0.68,1.84,0.09,0.84,1.49,0.96,2.17,4.06,0.34,1.26,5.64,0.52,1.31,3.24,1.09,1.13,1.21
May,0.21,0.89,1.93,0.27,1.03,1.61,0.49,2.67,4.23,0.14,1.4,5.27,-0.21,1.09,2.87,-0.22,0.91,1.2
June,0.28,1.17,2.13,-0.17,1,1.16,0.46,3.14,4.89,0.12,1.52,4.91,-0.37,0.72,2.35,0.36,1.27,1.94
July,-0.41,0.75,1.51,0.2,1.2,1.78,0.58,3.74,5.28,0.15,1.67,4.46,0.1,0.82,2.2,0.19,1.47,2.03
August,0.07,0.82,1.42,0.37,1.58,2.08,0.26,4.01,5.17,0.14,1.8,4.33,-0.08,0.75,2.04,-0.07,1.39,2.03
September,-0.18,0.64,1.23,-0.13,1.44,2.13,1.52,5.59,6.91,0.36,2.17,3.14,-0.11,0.63,1.64,0.17,1.57,2.32
October,-0.02,0.62,1.34,0.2,1.64,2.36,0.07,5.66,6.77,0.27,2.45,3.35,0.11,0.75,1.53,0.35,1.92,2.56
November,0.2,0.82,1..41,0.39,2.04,2.55,0.3,5.98,6.67,0.26,2.72,3.31,0.19,0.94,1.31,0.21,2.14,2.59
December,0.5,1.33,1.33,0.65,2.71,2.71,0.58,6.59,6.59,0.31,3.03,3.03,0.44,1.38,1.38,0.8,2.96,2.96
